Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
2,0.00183482,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0.00275224,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0.00366965,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0.00458706,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0.00550447,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0.00642188,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0.0073393,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0.00825671,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0.00917412,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,0.0100915,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,0.0110089,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0.0119264,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0.0128438,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0.0137612,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0.0146786,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,0.015596,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,0.0165134,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,0.0174308,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,0.0183482,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0.0192656,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,0.0201831,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,0.0211005,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,0.0220179,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0.0229353,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,0.0238527,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,0.0247701,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0.0256875,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,0.0266049,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,0.0275224,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,0.0284398,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,0.0293572,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,0.0302746,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,0.031192,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,0.0321094,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,0.0330268,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,0.0339442,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,0.0348617,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0.0357791,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,0.0366965,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,0.0376139,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,0.0385313,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,0.0394487,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,0.0403661,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,0.0412835,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,0.0422009,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,0.0431184,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,0.0440358,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,0.0449532,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,0.0458706,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,0.046788,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,0.0477054,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,0.0486228,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,0.0495402,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,0.0504577,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,0.0513751,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,0.0522925,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,0.0532099,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,0.0541273,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0.0550447,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,0.0559621,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,0.0568795,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,0.0577969,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,0.0587144,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,0.0596318,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,0.0605492,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,0.0614666,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,0.062384,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,0.0633014,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,0.0642188,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,0.0651362,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,0.0660537,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,0.0669711,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,0.0678885,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,0.0688059,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,0.0697233,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,0.0706407,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,0.0715581,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,0.0724755,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,0.073393,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,0.0743104,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,0.0752278,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,0.0761452,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,0.0770626,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,0.07798,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,0.0788974,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,0.0798148,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,0.0807322,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,0.0816497,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,0.0825671,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,0.0834845,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,0.0844019,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,0.0853193,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,0.0862367,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,0.0871541,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,0.0880715,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,0.088989,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,0.0899064,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,0.0908238,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,0.0917412,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,0.0926586,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,0.093576,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,0.0944934,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,0.0954108,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,0.0963282,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,0.0972457,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,0.0981631,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,0.0990805,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,0.0999979,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,0.100915,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,0.101833,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,0.10275,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,0.103668,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,0.104585,0,0,0,0,0,0,0,0,0,0,0,0,0,
